subj,session,trial,rt,object_response,category,condition,imagename
resnet50,4,1,NaN,knife,knife,0,3841_lp_dnn_0_knife_10_n03041632_31909.png
resnet50,4,2,NaN,knife,knife,0,3842_lp_dnn_0_knife_10_n03041632_84869.png
resnet50,4,3,NaN,knife,knife,0,3843_lp_dnn_0_knife_10_n03041632_43436.png
resnet50,4,4,NaN,knife,knife,0,3844_lp_dnn_0_knife_10_n03041632_50648.png
resnet50,4,5,NaN,knife,knife,0,3845_lp_dnn_0_knife_10_n03041632_24561.png
resnet50,4,6,NaN,knife,knife,0,3846_lp_dnn_0_knife_10_n03041632_32197.png
resnet50,4,7,NaN,knife,knife,0,3847_lp_dnn_0_knife_10_n03041632_32048.png
resnet50,4,8,NaN,knife,knife,0,3848_lp_dnn_0_knife_10_n03041632_35116.png
resnet50,4,9,NaN,knife,knife,0,3849_lp_dnn_0_knife_10_n03041632_13194.png
resnet50,4,10,NaN,boat,knife,0,3850_lp_dnn_0_knife_10_n03041632_80829.png
resnet50,4,11,NaN,keyboard,keyboard,0,3851_lp_dnn_0_keyboard_10_n03085013_21166.png
resnet50,4,12,NaN,keyboard,keyboard,0,3852_lp_dnn_0_keyboard_10_n03085013_21277.png
resnet50,4,13,NaN,keyboard,keyboard,0,3853_lp_dnn_0_keyboard_10_n04505470_659.png
resnet50,4,14,NaN,keyboard,keyboard,0,3854_lp_dnn_0_keyboard_10_n03085013_18214.png
resnet50,4,15,NaN,keyboard,keyboard,0,3855_lp_dnn_0_keyboard_10_n03085013_18674.png
resnet50,4,16,NaN,keyboard,keyboard,0,3856_lp_dnn_0_keyboard_10_n03085013_1193.png
resnet50,4,17,NaN,keyboard,keyboard,0,3857_lp_dnn_0_keyboard_10_n03085013_23018.png
resnet50,4,18,NaN,keyboard,keyboard,0,3858_lp_dnn_0_keyboard_10_n04505470_4651.png
resnet50,4,19,NaN,keyboard,keyboard,0,3859_lp_dnn_0_keyboard_10_n04505470_7015.png
resnet50,4,20,NaN,keyboard,keyboard,0,3860_lp_dnn_0_keyboard_10_n03085013_20923.png
resnet50,4,21,NaN,elephant,elephant,0,3861_lp_dnn_0_elephant_10_n02504013_4485.png
resnet50,4,22,NaN,elephant,elephant,0,3862_lp_dnn_0_elephant_10_n02504013_7659.png
resnet50,4,23,NaN,elephant,elephant,0,3863_lp_dnn_0_elephant_10_n02504013_3300.png
resnet50,4,24,NaN,elephant,elephant,0,3864_lp_dnn_0_elephant_10_n02504013_6223.png
resnet50,4,25,NaN,elephant,elephant,0,3865_lp_dnn_0_elephant_10_n02504013_4247.png
resnet50,4,26,NaN,elephant,elephant,0,3866_lp_dnn_0_elephant_10_n02504458_1445.png
resnet50,4,27,NaN,elephant,elephant,0,3867_lp_dnn_0_elephant_10_n02504458_6906.png
resnet50,4,28,NaN,elephant,elephant,0,3868_lp_dnn_0_elephant_10_n02504013_1986.png
resnet50,4,29,NaN,elephant,elephant,0,3869_lp_dnn_0_elephant_10_n02504458_11289.png
resnet50,4,30,NaN,elephant,elephant,0,3870_lp_dnn_0_elephant_10_n02504013_6465.png
resnet50,4,31,NaN,bicycle,bicycle,0,3871_lp_dnn_0_bicycle_10_n03792782_13541.png
resnet50,4,32,NaN,bicycle,bicycle,0,3872_lp_dnn_0_bicycle_10_n02835271_20975.png
resnet50,4,33,NaN,bicycle,bicycle,0,3873_lp_dnn_0_bicycle_10_n03792782_29606.png
resnet50,4,34,NaN,bicycle,bicycle,0,3874_lp_dnn_0_bicycle_10_n03792782_19525.png
resnet50,4,35,NaN,bicycle,bicycle,0,3875_lp_dnn_0_bicycle_10_n03792782_4102.png
resnet50,4,36,NaN,bicycle,bicycle,0,3876_lp_dnn_0_bicycle_10_n03792782_13324.png
resnet50,4,37,NaN,bicycle,bicycle,0,3877_lp_dnn_0_bicycle_10_n03792782_67167.png
resnet50,4,38,NaN,bicycle,bicycle,0,3878_lp_dnn_0_bicycle_10_n02835271_16182.png
resnet50,4,39,NaN,bicycle,bicycle,0,3879_lp_dnn_0_bicycle_10_n03792782_11625.png
resnet50,4,40,NaN,bicycle,bicycle,0,3880_lp_dnn_0_bicycle_10_n02835271_8287.png
resnet50,4,41,NaN,airplane,airplane,0,3881_lp_dnn_0_airplane_10_n02690373_6674.png
resnet50,4,42,NaN,airplane,airplane,0,3882_lp_dnn_0_airplane_10_n02690373_9718.png
resnet50,4,43,NaN,airplane,airplane,0,3883_lp_dnn_0_airplane_10_n02690373_13613.png
resnet50,4,44,NaN,airplane,airplane,0,3884_lp_dnn_0_airplane_10_n02690373_1005.png
resnet50,4,45,NaN,airplane,airplane,0,3885_lp_dnn_0_airplane_10_n02690373_6845.png
resnet50,4,46,NaN,airplane,airplane,0,3886_lp_dnn_0_airplane_10_n02690373_19329.png
resnet50,4,47,NaN,airplane,airplane,0,3887_lp_dnn_0_airplane_10_n02690373_9659.png
resnet50,4,48,NaN,airplane,airplane,0,3888_lp_dnn_0_airplane_10_n02690373_1862.png
resnet50,4,49,NaN,airplane,airplane,0,3889_lp_dnn_0_airplane_10_n02690373_4009.png
resnet50,4,50,NaN,airplane,airplane,0,3890_lp_dnn_0_airplane_10_n02690373_4029.png
resnet50,4,51,NaN,clock,clock,0,3891_lp_dnn_0_clock_10_n04548280_596.png
resnet50,4,52,NaN,clock,clock,0,3892_lp_dnn_0_clock_10_n02708093_8002.png
resnet50,4,53,NaN,clock,clock,0,3893_lp_dnn_0_clock_10_n02708093_2020.png
resnet50,4,54,NaN,clock,clock,0,3894_lp_dnn_0_clock_10_n04548280_6099.png
resnet50,4,55,NaN,clock,clock,0,3895_lp_dnn_0_clock_10_n02708093_6734.png
resnet50,4,56,NaN,clock,clock,0,3896_lp_dnn_0_clock_10_n02708093_5803.png
resnet50,4,57,NaN,clock,clock,0,3897_lp_dnn_0_clock_10_n02708093_3577.png
resnet50,4,58,NaN,clock,clock,0,3898_lp_dnn_0_clock_10_n04548280_1200.png
resnet50,4,59,NaN,clock,clock,0,3899_lp_dnn_0_clock_10_n02708093_5158.png
resnet50,4,60,NaN,clock,clock,0,3900_lp_dnn_0_clock_10_n04548280_1240.png
resnet50,4,61,NaN,oven,oven,0,3901_lp_dnn_0_oven_10_n04111531_17781.png
resnet50,4,62,NaN,oven,oven,0,3902_lp_dnn_0_oven_10_n04111531_16198.png
resnet50,4,63,NaN,oven,oven,0,3903_lp_dnn_0_oven_10_n04111531_2350.png
resnet50,4,64,NaN,oven,oven,0,3904_lp_dnn_0_oven_10_n04111531_3777.png
resnet50,4,65,NaN,oven,oven,0,3905_lp_dnn_0_oven_10_n04111531_8531.png
resnet50,4,66,NaN,oven,oven,0,3906_lp_dnn_0_oven_10_n04111531_3348.png
resnet50,4,67,NaN,chair,oven,0,3907_lp_dnn_0_oven_10_n04111531_1798.png
